srcLabelIx,srcLabelName,dstLabelId
771,Apalis personata,1201
772,Apalis porphyrolaema,1202
773,Apalis ruddi,1203
774,Apalis rufogularis,1204
775,Apalis sharpii,1205
776,Apalis stronachi,1206
777,Apalis thoracica,1207
778,Apaloderma aequatoriale,1208
779,Apaloderma narina,1209
780,Apaloderma vittatum,1210
781,Apalopteron familiare,1212
782,Aphanotriccus audax,1214
783,Aphanotriccus capitalis,1215
784,Aphelocephala leucopsis,1216
785,Aphelocephala nigricincta,1217
786,Aphelocephala pectoralis,1218
787,Aphelocoma californica,1219
788,Aphelocoma coerulescens,1220
789,Aphelocoma insularis,1221
790,Aphelocoma ultramarina,1222
791,Aphelocoma unicolor,1223
792,Aphelocoma wollweberi,1224
793,Aphelocoma woodhouseii,1225
794,Aphrastura spinicauda,1229
795,Apis cerana,1232
796,Apis mellifera,1234
797,Aplastodiscus arildae,1237
798,Aplastodiscus leucopygius,1242
799,Aplastodiscus perviridis,1244
800,Aplonis atrifusca,1247
801,Aplonis cantoroides,1249
802,Aplonis cinerascens,1250
803,Aplonis dichroa,1252
804,Aplonis grandis,1254
805,Aplonis magna,1256
806,Aplonis metallica,1257
807,Aplonis minor,1258
808,Aplonis mysolensis,1259
809,Aplonis opaca,1260
810,Aplonis panayensis,1261
811,Aplonis striata,1262
812,Aplonis tabuensis,1263
813,Aplopelia larvata,1265
814,Aprositornis disjuncta,1268
815,Aprosmictus erythropterus,1269
816,Aptenodytes forsteri,1271
817,Aptenodytes patagonicus,1272
818,Apteryx australis,1274
819,Apteryx maxima,1275
820,Apteryx mantelli,1276
821,Apteryx owenii,1278
822,Apteryx rowi,1279
823,Apus affinis,1281
824,Apus apus,1283
825,Apus balstoni,1284
826,Apus barbatus,1285
827,Apus berliozi,1287
828,Apus bradfieldi,1288
829,Apus caffer,1289
830,Apus cooki,1290
831,Apus horus,1291
832,Tachymarptis melba,1293
833,Apus niansae,1295
834,Apus nipalensis,1296
835,Apus pacificus,1297
836,Apus pallidus,1298
837,Apus salimalii,1299
838,Apus unicolor,1300
839,Aquarana clamitans,1302
840,Aquila adalberti,1305
841,Aquila africana,1306
842,Aquila audax,1307
843,Aquila chrysaetos,1308
844,Clanga clanga,1309
845,Aquila fasciata,1311
846,Clanga hastata,1313
847,Aquila heliaca,1314
848,Aquila nipalensis,1315
849,Clanga pomarina,1316
850,Aquila rapax,1318
851,Aquila verreauxii,1320
852,Ara ambiguus,1321
853,Ara ararauna,1322
